Value,Formatted_Date
14134,Jan-92
14472,Feb-92
14543,Mar-92
14529,Apr-92
14634,May-92
14597,Jun-92
14469,Jul-92
14729,Aug-92
14816,Sep-92
14870,Oct-92
14994,Nov-92
15310,Dec-92
15334,Jan-93
15119,Feb-93
14985,Mar-93
15406,Apr-93
15523,May-93
15517,Jun-93
15757,Jul-93
15775,Aug-93
15785,Sep-93
15985,Oct-93
15987,Nov-93
15988,Dec-93
16036,Jan-94
16203,Feb-94
16663,Mar-94
16337,Apr-94
16301,May-94
16478,Jun-94
16543,Jul-94
16635,Aug-94
16676,Sep-94
16796,Oct-94
16866,Nov-94
16949,Dec-94
17205,Jan-95
16680,Feb-95
16904,Mar-95
16985,Apr-95
16997,May-95
17269,Jun-95
17487,Jul-95
17231,Aug-95
17440,Sep-95
17188,Oct-95
17283,Nov-95
17332,Dec-95
17082,Jan-96
17336,Feb-96
17248,Mar-96
17675,Apr-96
17624,May-96
17544,Jun-96
17581,Jul-96
17737,Aug-96
17866,Sep-96
18017,Oct-96
17970,Nov-96
18117,Dec-96
18138,Jan-97
18185,Feb-97
18238,Mar-97
18096,Apr-97
18194,May-97
18276,Jun-97
18529,Jul-97
18556,Aug-97
18446,Sep-97
18580,Oct-97
18652,Nov-97
18427,Dec-97
18474,Jan-98
18698,Feb-98
18529,Mar-98
18649,Apr-98
18653,May-98
18553,Jun-98
18489,Jul-98
18548,Aug-98
18589,Sep-98
18692,Oct-98
18805,Nov-98
18855,Dec-98
19059,Jan-99
19351,Feb-99
19372,Mar-99
19075,Apr-99
19032,May-99
19270,Jun-99
19203,Jul-99
19191,Aug-99
19343,Sep-99
19256,Oct-99
19116,Nov-99
19249,Dec-99
19204,Jan-00
19158,Feb-00
19227,Mar-00
19208,Apr-00
19397,May-00
19217,Jun-00
19132,Jul-00
19203,Aug-00
19362,Sep-00
19319,Oct-00
19529,Nov-00
19677,Dec-00
19904,Jan-01
19170,Feb-01
18542,Mar-01
19073,Apr-01
18991,May-01
18889,Jun-01
19121,Jul-01
19093,Aug-01
18864,Sep-01
18955,Oct-01
19135,Nov-01
19038,Dec-01
18935,Jan-02
18811,Feb-02
18905,Mar-02
19018,Apr-02
18530,May-02
18604,Jun-02
18297,Jul-02
18261,Aug-02
18041,Sep-02
18541,Oct-02
18010,Nov-02
17917,Dec-02
17807,Jan-03
17670,Feb-03
17763,Mar-03
17687,Apr-03
17838,May-03
17912,Jun-03
18140,Jul-03
18207,Aug-03
18157,Sep-03
17889,Oct-03
17810,Nov-03
17791,Dec-03
17800,Jan-04
17871,Feb-04
18165,Mar-04
17752,Apr-04
17921,May-04
17695,Jun-04
17888,Jul-04
17896,Aug-04
17943,Sep-04
18016,Oct-04
17942,Nov-04
18137,Dec-04
18034,Jan-05
18173,Feb-05
17818,Mar-05
18153,Apr-05
17808,May-05
18263,Jun-05
17858,Jul-05
17822,Aug-05
17557,Sep-05
18070,Oct-05
18048,Nov-05
17765,Dec-05
18107,Jan-06
17981,Feb-06
17888,Mar-06
17932,Apr-06
17757,May-06
17847,Jun-06
17584,Jul-06
17490,Aug-06
17826,Sep-06
17657,Oct-06
17609,Nov-06
17713,Dec-06
18064,Jan-07
17586,Feb-07
17798,Mar-07
17480,Apr-07
17521,May-07
17328,Jun-07
17559,Jul-07
17527,Aug-07
17260,Sep-07
17292,Oct-07
17346,Nov-07
17199,Dec-07
16813,Jan-08
16822,Feb-08
16697,Mar-08
16708,Apr-08
16916,May-08
17059,Jun-08
16779,Jul-08
16645,Aug-08
16079,Sep-08
16016,Oct-08
16329,Nov-08
15839,Dec-08
15861,Jan-09
15627,Feb-09
